andpsorts url	profile description
intrepids-seitons-del-barcelones-hockey-sub	"El hockey subacuático nació el año 1954 en Inglaterra. Esta nueva disciplina del hockey surgió con la intención de que la gente que se iniciaba en el submarinismo se familiarizara con el material ligero de la apnea, sobretodo durante el invierno. En 1962 el ""Vanquatics Scuba Club"" comenzó a practicar el hockey sub ya com un deporte, y desde entonces se ha ido propagando imparablemente alrededor del mundo.En España, el hockey subacuático empezó a practicarse el año 1995. La ""proeza"" fue posible gracias a Laurent Alquier, un jugador que venia de Francia con 15 años de experiencia en este deporte que lo tenia cautivado. Consiguió entusiasmar a algunos curiosos y en ese primer año se llegaron a formar un equipo masculino y otro femenino en la ciudad de Barcelona. Los entrenamientos inicialmente eran una vez a la semana y tan solo 2 carriles de una piscina de 20m, un espacio muy limitado para el número de personas que se juntaban.

La temporada 96-97 ya fueron 2 los equipos femeninos y 2 los masculinos. Los entrenamientos ya tenían mejor forma, porque se realizaban en un terreno más amplio y con más frecuencia (dos veces por semana). El gran acontecimiento fue la introducción del hockey sub dentro de la FEDAS (Federación Española de Actividades Subacuáticas). Con el soporte económico que eso suponía se pudo acceder a la compra de material, como discos y porterías. Otro gran paso fue la participación en el VII Campeonato de Europa de Hockey Subacuático en Reims (Francia). Previamente se realizaron 4 stages conjuntamente con la selección francesa para coger más físico y una idea más real de lo que representaba jugar a este deporte. En aquellos tiempos, por tanto, la selección española de hockey subacuático estaba integrada únicamente por jugadores catalanes. Otras competiciones en las que este par de equipos de Barcelona participaron durante aquella temporada fueron el Torneo de Toulouse, la Copa Interregional de Andorra y el II Torneo Intermediterráneo de Marsella.Otro hecho importante fue la organización del I Curso de Hockey-sub en la Facultad de Biología de la Universitat de Barcelona.

Durante los años 97-98 se participó en algunas competiciones en Marsella y Francia, y se hicieron demostraciones por España para promocionar el hockey, como en Mallorca e Igualada, donde parecía que podrían iniciarse nuevos equipos.Se desarrolló el II Curso de hockey sub en la facultad de Biología de la Universidad de Barcelona.Aquella temporada, Cressi Sub esponsorizaba el hockey sub facilitando el material básico, como eran gafas, tubos y aletas.Algunos jugadores tuvieron la suerte de participar con la Selección Nacional Francesa en algunos de sus torneos nacionales o stages de preparación para otros campeonatos.Fue una temporada de difusión y promoción del deporte en prensa escrita, radio y TV, y también realizando charlas, como una conferencia en el Salón Náutico de Barcleona. Desde la FEDAS se preparó un dosier de presentación para el resto de Federaciones Autonómicas.Por falta de fondos no se pudo participar en el Campeonato del Mundo de San José, California.La siguiente temporada, la 98-99, se participó de nuevo en una competición importante de carácter internacional en Kranj (Eslovenia): era el VIII Campeonato de Europa de Hockey Suacuático.

La experiencia se demostraba en los resultados obtenidos.En la temporada 99-00 el acontecimiento más importante fue la organización del I Torneo Internacional de la Ciudad de Barcelona. Gracias a un gran esfuerzo se consiguió un éxito que todavía se mantiene vivo a día de hoy.La tasa de difusión del hockey sub en el resto de España dio sus frutos, empezando a crecer dos nuevos focos en Benicarló y Vitoria.Aquellos años, y también por falta de presupuesto, tampoco se pudo asistir al Campeonato del Mundo que se celebraba en Tasmania (Australia).Es importante destacar el II Torneo Ciudad de Barcelona y el I Campeonato de España Open que se celebraron la temporada 00-01 en Barcelona, con la participación de 11 equipos, tanto nacionales como de fuera. En aquel campeonato se realizó el primer control antidopaje de la historia del hockey-sub en España.También se participó en el IX Campeonato de Europa de Hockey Subacuático en Belgrado (Serbia y Montenegro), donde todavía todos los jugadores de la Selección Española formaban parte del equipo de Barcelona.El III Torneo Ciudad de Barcelona y II Campeonato Open de España se desarrollaron durante la temporada 01-02. Aquel año se consolidó el equipo de Vitoria, haciendo un paso adelante en el objetivo de hacer más grande el deporte a nivel nacional.

La Selección Española masculina pudo disputar por primera vez el Campeonato del Mundo de Hockey Subacuático en Calgary, Canadá. Aunque los resultados no fueron espectaculares, la experiencia que acumularon los representantes de España en aquel campeonato sirvió para poder tener actualmente jugadores de referencia en nuestro país.La temporada 02-03 se disputó el IV Torneo de Barcelona (con la participación récord de 9 equipos masculinos y 6 femeninos) y se amplió con la participación en el X Campeonato de Europa de Hockey Subacuático en San Marino, esta vez con selecciones integradas ya con miembros de varias federaciones autonómicas.Se realizó el III Campeonato de España de Hockey Subacuático en Vitoria, con la participación de jugadores de Benicarló, Igualada, La Coruña, Madrid, Murcia, Sevilla y Vigo. Era la primera vez que se disputaba entre jugadores de España propiamente.Algunas jugadoras de diferentes equipos de España participaron en el Campeonato de Clubes femenino en Londres.Se organizó también por primera vez el Campeonato de Catalunya, con tres equipos masculinos y dos femeninos.En Barcelona se creó la Asociación de Amigos del Hockey Subacuático para potenciar nuestro deporte a nivel catalán.

Un gran paso a nivel nacional durante los años 03-04 fue la disputa del IV Campeonato de España de Hockey Subacuático en 3 fases. El hockey hizo un cambio dentro de nuestro país, tomando un carácter más serio, como se pretendía desde el principio. El Open Internacional de Barcelona llegaba a su quinta edición, por primera vez fuera de la ciudad de Barcelona en las instalaciones del Club Natació Sabadell.En la temporada 04-05 se continuó realizando el V Campeonato de España en tres fases, ya con 8 equipos de todo el estado. El equipo femenino de Barcelona perdió el liderato del campeonato a causa de la profunda renovación de jugadoras, mientras que el equipo masculino empezó a tener problemas para mantener la primera posición ante el equipo de Madrid.El equipo nacional, ya sin mayoría de jugadores o jugadoras de Barcelona, participó en el XI Campeonato de Europa en Marsella (Francia).05-06. Temporada marcada por el objetivo del Campeonato del Mundo en Sheffield, en el Reino Unido, en agosto de 2006. El IV Campeonato de Catalunya llega a récords históricos con 5 equipos masculinos y uno femenino, que después participan en el VI Campeonato de España organizado todavía en tres fases, con 10 equipos masculinos y 4 femeninos."
ipso-aventuras	"IPSO Aventuras es un Centro Especializado en Deportes de Aventura para jovenes de 8 a 70 años y a tan solo 30 minutos de Barcelona.


Disponemos de actividades como excursiones en quad,Mini excursiones en quads SIN CARNET infantil &amp; junior,tiro con arco,recorridos de orientacion,futbolin humano,circuitos de aventura entre los arboles con tirolinas,redes,puentes de madera,excursiones a caballo y en burro y como ultima novedad unica los juegos de estrategia Laser Combat,entre otras actividades.


 


Ofrecemos servicios a Empresas,Colegios e Institutos,Celebraciones,Despedidas de soltero,particulares etc...


 


Nuestro Centro dispone de Zona de Aparcamiento,Terraza con Bar,Servicio de Restaurante,Baños,Vestuarios con duchas etc..


 


Desde el año 2007 se nos a otorgado el distintivo SICTED el cual nos cualifica como empresa que ofrece unos servicios de calidad valorados por la camara de comercio de barcelona.


"
iss-l-hospitalet	"Atletismo,Correr,Jogging,Running en L'Hospitalet de Llobregat."
jalon-activo-sc	"Un grupo de profesionales de los deportes de aventura y de las actividades de tiempo libre.DEPORTES DE AVENTURA (kayak, escalada, espeleología, tiro con arco, orientación)CAMPAMENTOSEVENTOS"
jalpiaventura	"Parque de aventura en los árboles. Cerca de Barcelona, hasta 6 recorridos en altura con diferentes niveles de dificultad. Puentes, lianas, tirolinas, etc. Excursiones en segway y zona de escala en boulder. Para gente de todas las edades, desde los 3 años y hasta que el cuerpo aguante"
judo-club-ohisama-solana	"Somos un Club de Judo situado en el centro de Bilbao, en la zona de Moyua, en el que se practica Judo de todos los niveles todos los días, desde clases de niños de 3 años.
Dentro de la clase de mayores existe niveles de iniciación en el Judo, y clases dedicadas
a la gente de competición de nivel Nacional e Internacional. Las calses se adaptan al nivel
de cada uno.
Las clases son dirigidas por la Maestro Nacional, Arbitro Nacional y cinturón negro 7ºDAN, Carmen Solana, 13 veces Campeona de España, Competidora de alto nivel internacional, y con un extenso curriculum como entrenadora en Bilbao, Seleccionadora de las cateogorías sub-23 en Euskadi, y un largo etc."
judo-club-tauste	Un club de Judo fundado en 1968.
judo-shin-gi-tai	"Toda arte marcial lleva consigo tres principios fundamentales en su doctrina, estos son los conceptos de Shin Gi Tai, los mismos son las llaves que abren las puertas a  todos los secretos del Bujutsu. Los ideogramas japoneses de Shin Gi Tai literalmente pueden transcribirse como:
SHIN = Espíritu
GI =Técnica
TAI = Cuerpo
SHIN (Espíritu):
Es el dominio de todos los Kaiki, los cuales están conformados por, el dominio de la conciencia física, el dominio y control de las emociones, el desarrollo y el control de las facultades mentales.
 A través del esfuerzo, la diligencia, la disciplina y el autocontrol.

Alerta Percepción. Despierto ante todo enemigo, ya sea interno o externo.
Autodominio, control de las emociones.
Respeto a todas las formas de vida.
Sencillez en todas las acciones.
Perseverantes y atentos en el camino de la meditación.

GI (Técnica):
Conocimiento de todas las técnicas que integran el arte marcial, perfeccionando por siempre,  sin nunca sentirse poseedores de una elevada técnica marcial, para así de este modo poder seguir mejorando mediante el entrenamiento practico, como cuando comenzamos el primer día de clases.  Recuerden que la perfección de los artes marciales es una espiral que a medida que se sube esta se va ampliando cada vez mas, siendo interminable su expansión.

Técnicas efectuadas correctamente, sin vacilar.
Simple, directo y efectivo, destacando siempre el estilo de la técnica
Fluido continuo en las acciones. Manteniendo la coordinación y equilibrio.
Rapidez de reacción.

TAI (Cuerpo):
El cuerpo. Su formación y cuidado para adquirir una buena salud y optima preparación física, utilizando los más modernos sistemas de entrenamiento que permitan elevar la preparación física general, la preparación física especial, así como también la preparación técnico táctica y teórica sicológica, manteniendo un equilibrio entre el rendimiento elevado como artista marcial y la salud como organismo humano.

Potencia y eficacia en cada acción.
Flexibilidad y resistencia física.
Agilidad en la esquiva, velocidad en la reacción.
Fuerza explosiva en todo ataque o defensa.
Cultura del cuerpo físico.

No puede existir un Shin Gi Tai por separado, los tres conceptos deben ir equilibradamente en el practicante ninguno debe sobrepasar al otro, pues el Arte perfecciona en tres líneas formando un fuerte triangulo. Por lo tanto practicantes no olviden aplicar en sus vidas el Shin Gi Tai, que les aportara las sólidas bases para ser los verdaderos hombres de estos tiempos."
kajukembo-self-defense-systems-zaragoza-club-lazuda	Karate - Judo- Ju Jitsu - Kenpo - Boxeo Chino - Kung Fu.- Defensa Personal y más. Clases privadas previa cita. Seminarios intensivos fines de semana.
kandani	"En Kandani ponemos a su disposición toda la experiencia desarrollada en los últimos años para ofrecerle un servicio eficiente y de calidad relacionado con el mundo del ciclismo. En nuetra tienda de Santa Eulària encontrará el asesoramiento necesario sobre bicicletas, accesorios y rutas existentes en la isla de Ibiza.
 
Disponemos de una flota de más de 200 bicicletas de distinta tipología, cubriendo todas las modalidades existentes de ciclismo. Según sus necesidades y aficiones, podrá alquilar la bicicleta ideal con la que vivir una gran experiencia recorriendo los bellos rincones que ofrece la isla de Ibiza. Bicicletas de montaña rígidas y dobles, bicicletas de carretera, de paseo, trekking, eléctricas, tándem y bmx. Modelos nuevos de excelente calidad, revisados por nuestro equipo técnico.
 
Trabajamos activamente en el diseño de nuevas rutas ciclistas, para carretera y montaña. En Kandani le informaremos y asesoraremos sobre las posibilidades que ofrece la isla para que pueda disfrutar al máximo de su experiencia en bicicleta. Realizamos rutas guiadas para grupos, adaptadas a sus necesidades y deseos. Si desea descubrir la isla en solitario, disponemos también de rutas a la carta para recorrer con gps. En nuestra tienda podrá podrá planificar sus recorridos entre un gran abanico de posibilidades.
 
En Kandani la satisfacción del cliente es nuestra meta y trabajamos para mejorar día a día. Venga y descubra en Kandani las claves para disfrutar del ciclismo."
karate-goju-ryu	"Nos dedicamos a acercar el Karate a pequeños y mayores. 

Nuestra amplia experiencia tanto en colegios como a nivel particular hace que nuestro alumnado esté muy motivado para la práctica de este deporte y nuestros precios hacen que esté al alcance de todos.

Prácticamos Karate tradicional de Okinawa, siguiendo la línea del Sihan Choyu Hentona.
"
karate-terrassa	"SECCIÓN DE KARATE DEL CLUB NATACIÓ TERRASSA 

Clases de Karate para Adultos y Niños

Estilo de Karate que practicamos: Shito-Ryu Tradicional

Modalidades de enseñanza: 
Pre-Karate Benjamín, Karate Deportivo y Karate Tradicional 

Club afiliado a F.C.K. (Federació Catalana de Karate) y U.S.E. (Unión Shito.Ryu España)

Personal Técnico: Sensei, Francisco Jiménez Ramos Cinto Negro 4º Dan

"
karma-yoga	"Bienvenidos

El Karma Yoga es el yoga de la acción. Una acción cualquiera que ésta sea genera un karma bueno o malo para el actor. En éste sentido el karma será la consecuencia o repercusión de dicha acción en quién realiza la acción misma y ésta forma parte integral e inseparable de toda acción. El karma es en realidad la suma de todas las acciones y pensamientos de todas nuestras encarnaciones pasad as y de la presente. El karma yoga parte de la base de que para poder alcanzar la liberación o iluminación espiritual (moksha) es necesario haber agotado todos nuestros karmas, tanto positivos como negativos.

Un karma positivo no necesariamente extingue a un karma negativo ya que ámbos son acciones independientes y causarán repercusiones distintas. De manera que si uno realiza buenas acciones seguramente disfrutaremos en el futuro (en ésta o en otra encarnación) de los frutos (karmas) de dichas acciones, así como de la misma forma uno sufrirá las consecuencias de nuestras malas acciones. Pero mientras uno siga generando karma, bueno o malo, siempre estaremos sujetos al ciclo de muertes y reencarnaciones (samsara). La única forma de romper con éste ciclo es lograr la liberación espiritual y para ello es indispensable no contar con karma alguno.

Lo que profesa el karma yoga es que para agotar nuestro karma hay que vivir sin generar ninguna clase de karma y así mientras vivimos nuestra presente encarnación experimentaremos los karmas anteriormente generados, agotándolos gradualmente con el tiempo. Sin embargo si toda acción genera un karma seguramente nos preguntaremos como es que se puede vivir sin generar ningún karma. La respuesta en realidad es simple y no se trata de vivir como una estatua sin pensar y sin actuar durante nuestras vidas, de hecho para lograrlo hay que pensar continuamente en lo que hacemos antes de actuar.

Si uno vive actuando siempre y en todo momento de forma correcta y sin esperar por ello una recompensa (karma) entonces uno no genera karma alguno. Esta es la forma de practicar el karma yoga, vivir actuando siempre de forma consciente para realizar todo lo que debemos hacer en nuestra presente encarnación y situación de la mejor manera posible y de forma correcta y justa sin esperar en ningún momento recibir un beneficio a cámbio por ello. De ésta forma de garantiza lograr la iluminación y liberación espiritual rompiendo para siempre con el ciclo de muertes y reencarnaciones."
karting-club-de-finestrat	Automovilismo en Finestrat.
karting-la-cala-de-benidorm	Automovilismo en Benidorm.
karting-la-font-santa	Automovilismo en Teulada.
karting-trebujena	Automovilismo en Trebujena.
kartodrom-catalunya	"A tan sólo 15 minutos de Barcelona, y solamente a 5 minutos del Circuit de Catalunya de F1, en Kartòdrom Catalunya encontraréis una de las pistas más equipadas y modernas de la península, con unos 45.000 metros cuadrados de instalaciones, la pista se desenvuelve en un trazado con múltiples posibilidades de diseño (24 en total), donde podréis encontrar curvas muy técnicas así como otras de trazado mas abierto y rápido, rectas que pueden ir desde los 140 a los 230 metros.
Aquí encontraréis todo lo relacionado con este apasionante mundo, desde la opción de alquilar un kart, individualmente o en grupo, pasando por la competición, donde os ofrecemos material para competir, una escuela de iniciación, un campeonato de carreras para todas las edades, un equipo profesional, etc..

Ponemos a vuestra disposición todos nuestros servicios y experiencia para que disfrutéis de este deporte que nos apasiona y por el que seguro quedareis atrapados.
Os esperamos!!"
